ORDER_ID,CUSTOMER_CD,GROUP_CD,ORDER_CLASS,VEHICLE_CLASS,VEHICLE_OPTION,VEHICLE_TYPE,VEHICLE_SCALE,SHIPPER_CD,BOX_TYPE,BOX_SIZE,ORDER_TEMPERATURE,ORDER_TYPE,ORDER_VOLUME,ORDER_WEIGHT,ORDER_BOX,ORDER_COST,STATUS,P_X,P_Y,P_LOCATION_NM,P_ADDRESS,P_SUB_ADDRESS,P_ZIP_CODE,P_PNU,D_X,D_Y,D_LOCATION_NM,D_ADDRESS,D_SUB_ADDRESS,D_ZIP_CODE,D_PNU,P_ORDER_DATE,P_SLA_TIME,P_OPEN_TIME,P_CLOSE_TIME,D_ORDER_DATE,D_SLA_TIME,D_OPEN_TIME,D_CLOSE_TIME,LOADING_TYPE,P_EST_PROC_TIME,UNLOADING_TYPE,D_EST_PROC_TIME,ENABLE_PACKAGE,ENABLE_REV_NEGO,REMARK,P_MGR_NM,P_CONTACT,D_MGR_NM,D_CONTACT
00000041,00000191,0000000000_0000000000,,,0,0,1001,,0,0,0,2,1.05,521,0,0,,128.8063389,35.1254987999999,,신항/글로벌로지텍,,,,128.845688,37.8638375,D_41,"강원도 강릉시 연곡면 해안로 1375-3, 1층",,,,20210610,0:0,0,0,20210610,0,0,0,0,0,1,0,2,0,,,,,
00000042,00000191,0000000000_0000000000,,,0,0,1002,,0,0,0,3,0.79,188,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,127.3249585,37.3049496,D_42,경기 광주시 상림리 18-1 (도척윗로 728-18) 도척윗로 728-18,,,,20210610,09:30,0,0,20210610,0,0,0,0,7,2,0,0,0,라보/일반,,,,
00000043,00000191,0000000000_0000000000,,,0,0,1003,,0,0,0,0,1.1,77,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.8630725,37.527534,D_43,서울 양천구 신정동 890-15 (목동로25길 7-1),,,,20210610,11:01,0,0,20210610,0,0,0,0,7,0,0,2,0,다마스/일반,,,,
00000044,00000191,0000000000_0000000000,,,0,0,1004,,0,0,0,0,1.2,147,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.9900526,37.5345389,D_44,서울 용산구 이태원동 183-1 (이태원로 145) 이태원로 145 동호프라자 / 마초스튜디오,,,,20210610,11:27,0,0,20210610,0,0,0,0,7,0,7,0,0,라보/일반,,,,
00000045,00000191,0000000000_0000000000,,,0,0,1000,,0,0,0,3,3.11,616,0,0,,126.6340085,37.4672372,,인천항/영진공사,,,,126.9898171,37.5644439,D_45,서울 중구 수표로 37,,,,20210611,0,0,0,20210611,0,0,0,0,7,0,7,2,0,1톤,,,,
00000046,00000191,0000000000_0000000000,,,0,0,1000,,0,0,0,3,3.22,769,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,129.2551469,35.3833949,D_46,"부산광역시 기장군 장안읍 명례산단2로 99, 1층 (명례리 901-3)",,,,20210611,0,0,0,20210611,0,0,0,0,0,0,7,0,0,1톤,,,,
00000047,00000191,0000000000_0000000000,,,0,0,1000,shipper2,0,0,0,2,1.9,990,0,0,,126.624518299999,37.4688054,,인천항/가람통상,,,,126.9898171,37.5644439,D_47,서울 중구 수표로 37,,,,20210611,0,0,0,20210611,0,0,0,1,0,0,7,2,1,1톤,,,,
00000048,00000191,0000000000_0000000000,,,0,0,5000,shipper1,0,0,0,2,2,1062,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,127.1260351,36.7538003,D_48,천안시 동남구 풍세면 48-15 진코리아,,,,20210611,0,0,0,20210611,0,0,0,2,0,0,0,0,2,5톤윙,,,,
00000049,00000191,0000000000_0000000000,,,0,0,2500,shipper2,0,0,0,0,1.488,2114,0,0,,126.608908599999,37.4567562,,인천 중구 항동7가 27-3 (축항대로 99) 축항대로 99,,,,127.0059903,37.5698748,D_49,서울 종로구 종로5가 440-2 (청계천로 255) 청계천로 255 옥천컴퍼니,,,,20210611,09:30,0,0,20210611,0,0,0,0,0,1,0,2,0,2.5톤/카고,,,,
00000050,00000191,0000000000_0000000000,,,0,0,1999,shipper2,0,0,0,0,7.404,1274,0,0,,126.6183442,37.4496946,,인천 중구 항동7가 92-1 (축항대로212번길 49) 축항대로212번길 49,,,,126.8760374,37.4811823,D_50,서울 금천구 가산동 493-6 (서부샛길 648) 서부샛길 648,,,,20210611,09:33,0,0,20210611,0,0,0,1,0,2,0,0,1,1톤+/카고,,,,
